commit	win_rate	self_play	status	description
b13dd0f	0.9543	0.5625	discard	curriculum 50-100% (heuristic dropped)
n/a	0.9528	0.5000	discard	validation-interval 100s (CLI only)
ab38ae6	0.9715	0.3750	discard	MAX_TILE_CANDIDATES 16 (diminishing returns)
1eaa0fb	0.9730	0.5000	discard	LR 5e-4 (heuristic dropped on one seed)
86a8765	0.9278	0.5000	discard	dropout 0.15 (avg 3 seeds)
60bfefe	0.9471	0.2083	discard	constant imitation weight (avg 3 seeds)
e925d8e	0.9513	0.6250	keep	SiLU activation in res blocks (avg 3 seeds)
ba70021	0.9699	0.3333	discard	SiLU in first conv too (self-play dropped)
2299be4	0.9703	0.3333	discard	ENTROPY_WEIGHT 0.015 (self-play dropped)
a75f777	0.9488	0.4167	discard	SiLU in all MLPs (self-play dropped)
2978b58	0.9402	0.2917	discard	VALUE_WEIGHT 0.6
952a498	0.9383	0.5417	discard	cosine imitation decay
8999244	0.9682	0.5417	keep	5th residual block with SiLU (avg 3 seeds)
8078be5	0.9415	0.5833	keep	bulk turn batching 2.3x throughput (avg 3 seeds)
418bd36	0.9526	0.5000	discard	LR 3e-4 with bulk batching (avg 3)
d00dcea	0.9518	0.5833	keep	LR 4e-4 for bulk batching (avg 3 seeds)
d2f8ac0	0.9767	0.3333	keep	attack target validation (avg 3 seeds)
3f27b02	0.9743	0.5000	discard	curriculum 40-100% (self-play up but still low)
d2fd031	0.9744	0.5417	keep	curriculum 50-100% (avg 3 seeds)
8fd7e49	0.9394	0.5417	keep	400s budget + 100 turn limit baseline (avg 3)
aa1fce9	0.9652	0.5417	keep	rollout fragment 32 with 400s (avg 3 seeds)
3c9ebb7	0.9651	0.5000	discard	GAMMA 0.98 with 400s
f9cfeab	0.9751	0.3333	discard	IMITATION_WEIGHT 0.5 (self-play dropped)
n/a	0.9645	0.5833	keep	28 workers with bulk batching avg_batch=152 (avg 3)
d038cf9	0.9498	0.3750	discard	28 workers + LR 6e-4 (too aggressive)
dad4b23	0.9726	0.5833	keep	Rust training helpers + 28 workers (avg 3 seeds)
c746ed1	0.9671	0.5417	discard	pretraining 15s/1000 games (redundant with imitation)
aebef97	0.9561	0.4167	discard	no curriculum full self-play (fewer games)
39c271d	0.9672	0.7500	keep	600s + LR floor 10% (avg 2 seeds, best self-play)
b20fe6d	0.9211	0.3750	discard	LR floor 15% (too high)
290ce53	0.9449	0.5000	discard	validation 45s (too frequent fewer games)
72cbc47	0.9296	0.5625	discard	linear LR decay to 20%
2441f3e	0.9243	0.6250	discard	MAX_SNAPSHOT_POOL 12 (heuristic dropped)
3558001	0.9766	0.3750	discard	6th res block (heuristic up self-play down)
98d5a9b	0.9749	0.5000	discard	dropout 0.05 (self-play dropped)
ced0a83	0.9701	0.4375	discard	Mish activation (noisy self-play)
fd72b2b	0.9590	0.6250	discard	faster imitation decay 2x
77bd810	0.9622	0.6250	discard	wider MLPs 256-dim
5fef595	0.9830	0.3125	discard	deeper state_proj 3 layers (self-play bad)
02e7950	0.9818	0.3750	discard	4 res blocks (self-play still bad)
13aecb9	0.9537	0.5000	discard	ENTROPY_WEIGHT 0.035
4eb897d	0.9821	0.4375	discard	more robust self-play eval 3 snapshots 4 maps
6dbc76b	0.9735	0.4375	discard	aggressive curriculum 0->100% (self-play low)
44367f8	0.9706	0.6250	discard	higher training temp floor 0.40
dc15118	0.9551	0.5000	discard	RAdam optimizer
79fbf67	0.9162	0.4375	discard	capture progress reward (heuristic dropped)
3f449cb	0.9108	0.6250	discard	12 validation games (too much eval overhead)
fa55001	0.9702	0.1875	discard	constant LR (self-play terrible)
09c187c	0.9514	0.3750	discard	weight decay 3e-4
3174d08	0.9557	0.5000	discard	LR 3e-4 for 600s
52aa821	0.9377	0.6250	discard	LR 5e-4
3d4d7e1	0.9815	0.4375	discard	IMITATION_WEIGHT 0.25 (self-play down)
ec032fe	0.9783	0.5000	discard	SiLU in candidate_proj
015f17e	0.9539	0.5625	discard	LAMBDA 0.85
c918f66	0.9659	0.5000	discard	15-min training (no improvement over 10-min)
1374aca	0.9428	0.3125	discard	no heuristic prior (best_self_play=1.0 but unstable)
ca6bb41	0.9684	0.5625	discard	ExIt 20s (policy already matches lookahead)
n/a	0.9464	0.3750	discard	heuristic lookahead opponents (wrong signal)
